Tipo Unidad,Modelo,Marca
CHASIS CABINA       ,2021,NISSAN              
ELF 300             ,2015,ISUZU               
514 SEMI LONG S 300,2019,HINO                
ELF 300             ,2013,ISUZU               
CHASIS CABINA       ,2020,NISSAN              
ELF 300             ,2013,ISUZU               
716 LONG SERIE 300  ,2019,HINO                
MANAGER FURGON L2H2,2021,PEUGEOT             
CHASIS CABINA       ,2020,NISSAN              
CHASIS CABINA       ,2020,NISSAN              
716 LONG SERIE 300  ,2019,HINO                
CHASIS CABINA       ,2015,NISSAN              
716 LONG SERIE 300  ,2019,HINO                
CHASIS CABINA       ,2020,NISSAN              
MANAGER FURGON L2H2,2021,PEUGEOT         
